Sl. No,Field Name,Field Type,Example
17,breadcrumbs,list,"['Men', 'Designers', 'Bottega Veneta', 'Shoes', 'Sneakers', 'Low-Top']"
17,breadcrumbs,list,"['Men', 'Designers', 'George Cleverley', 'Shoes', 'Loafers']"
18,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682.jpg
19,brand_name,string,Bottega Veneta
20,product_name,string,Orbit sneakers
21,product_price,string,€ 800
22,product_id,string,P00979682
23,Sizes,list,"['EU 38', 'EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46', 'EU 47']"
24,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/f8/P00979682_d4.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/f8/P00979682_b1.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/48/P00979677.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/04/P00979666.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
26,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652.jpg
27,brand_name,string,George Cleverley
28,product_name,string,Colony croc-effect leather loafers
29,product_price,string,€ 630
30,product_id,string,P00964652
31,Sizes,list,"['UK 6 / EU 40', 'UK 7 / EU 41', 'UK 8 / EU 42', 'UK 8.5 / EU 42.5', 'UK 9 / EU 43', 'UK 9.5 / EU 43.5', 'UK 10 / EU 44', 'UK 10.5 / EU 44.5', 'UK 11 / EU 45', 'UK 12 / EU 46', 'UK 13 / EU 47']"
32,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d4.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
33,breadcrumbs,list,"['Men', 'Designers', 'Common Projects', 'Shoes', 'Loafers']"
33,breadcrumbs,list,"['Men', 'Designers', 'Loewe', 'Shoes', 'Boots', 'Ankle boots']"
33,breadcrumbs,list,"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Sneakers', 'Designer sneakers']"
34,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903.jpg
35,brand_name,string,Common Projects
36,product_name,string,City leather loafers
37,product_price,string,€ 515
38,product_id,string,P00951903
39,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46', 'EU 47']"
40,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/26/P00951903_d4.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/26/P00951903_b1.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/03/P00942085.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/0b/P00951782.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
42,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069.jpg
43,brand_name,string,Loewe
44,product_name,string,Lago shearling ankle boots
45,product_price,string,€ 800
46,product_id,string,P00956069
47,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45']"
48,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c1/P00956069_d4.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/c1/P00956069_b1.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/13/P00956080.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/7e/P00956111.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
49,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961.jpg
50,brand_name,string,Valentino Garavani
51,product_name,string,Rockrunner sneakers
52,product_price,string,€ 495
53,product_id,string,P00626961
54,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46', 'EU 47']"
55,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/9c/P00626961_d4.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
57,breadcrumbs,list,"['Men', 'Designers', 'Acne Studios', 'Shoes', 'Loafers']"
58,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995.jpg
59,brand_name,string,Acne Studios
60,product_name,string,Leather loafers
61,product_price,string,€ 495
62,product_id,string,P00941995
63,Sizes,list,"['EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
64,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995_d4.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/8b/P00941995_b1.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/10/P00941853.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/51/P00941846.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
65,breadcrumbs,list,"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Sneakers', 'Designer sneakers']"
66,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489.jpg
67,brand_name,string,Balenciaga
68,product_name,string,Runner sneakers
69,product_price,string,€ 925
70,product_id,string,P00636489
71,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46', 'EU 47']"
72,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d4.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
73,breadcrumbs,list,"['Men', 'Designers', 'Gianvito Rossi', 'Shoes', 'Loafers']"
74,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548.jpg
75,brand_name,string,Gianvito Rossi
76,product_name,string,Julio leather loafers
77,product_price,string,€ 748
78,product_id,string,P00945548
79,Sizes,list,"['EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
80,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/4b/P00945548_d4.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
81,breadcrumbs,list,"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Designer sneakers']"
82,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317.jpg
83,brand_name,string,Christian Louboutin
84,product_name,string,Astroloubi denim sneakers
85,product_price,string,€ 755
86,product_id,string,P00950317
87,Sizes,list,"['EU 39', 'EU 40', 'EU 40.5', 'EU 41', 'EU 41.5', 'EU 42', 'EU 42.5', 'EU 43', 'EU 43.5', 'EU 44', 'EU 44.5', 'EU 45', 'EU 45.5', 'EU 46', 'EU 47']"
88,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/77/P00950317_d4.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/77/P00950317_b1.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/86/P00935553.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/15/P00948054.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/23/P00948075.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
89,breadcrumbs,list,"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Sneakers', 'Low-Top']"
90,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294.jpg
91,brand_name,string,Valentino Garavani
92,product_name,string,Easyjog VLogo sneakers
93,product_price,string,€ 715
94,product_id,string,P00939294
95,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
96,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/ec/P00939294_d4.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/ec/P00939294_b1.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/df/P00939142.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/65/P00939138.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/1b/P00939148.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
97,breadcrumbs,list,"['Men', 'Designers', 'Amiri', 'Shoes', 'Sneakers', 'Low-Top']"
97,breadcrumbs,list,"['Men', 'Designers', 'Lanvin', 'Shoes', 'Loafers']"
97,breadcrumbs,list,"['Men', 'Designers', 'Amiri', 'Shoes', 'Sneakers', 'Low-Top']"
98,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/95/P00960640.jpg
99,brand_name,string,Amiri
100,product_name,string,Leopard Skel Top Low leather sneakers
101,product_price,string,€ 620
102,product_id,string,P00960640
103,Sizes,list,"['EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46', 'EU 47']"
