Sl. No,Field Name,Field Type,Example
1,breadcrumbs,list,"['Men', 'Designers', 'George Cleverley', 'Shoes', 'Boots', 'Ankle boots']"
2,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653.jpg
3,brand_name,string,George Cleverley
4,product_name,string,Taron II suede lace-up boots
5,product_price,string,€ 800
6,product_id,string,P00964653
7,Sizes,list,"['UK 6 / EU 40', 'UK 7 / EU 41', 'UK 7.5 / EU 41.5', 'UK 8 / EU 42', 'UK 8.5 / EU 42.5', 'UK 9 / EU 43', 'UK 9.5 / EU 43.5', 'UK 10 / EU 44', 'UK 10.5 / EU 44.5', 'UK 11 / EU 45', 'UK 12 / EU 46', 'UK 13 / EU 47']"
8,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d4.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
9,breadcrumbs,list,"['Men', 'Designers', 'Loewe', 'Shoes', 'Boots', 'Lace up boots']"
10,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068.jpg
11,brand_name,string,Loewe
12,product_name,string,Lago shearling lace-up boots
13,product_price,string,€ 800
14,product_id,string,P00956068
15,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45']"
16,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_d4.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/78/P00956068_d4.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/78/P00956068_b1.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/13/P00956080.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/a2/P00962233.jpg', 'https://img.mytheresa.com/332/376/100/jpeg/catalog/product/7e/P00956111.jpg', 'https://img.mytheresa.com/cms/80/80/30/images/909cd113-be1f-418a-9664-e9387dc767ce.png', 'https://img.mytheresa.com/cms/80/80/30/images/22cb0ec6-e426-4579-a283-5e4705cce512.png', 'https://img.mytheresa.com/cms/80/80/30/images/b579a4c8-dfa7-49d4-b719-f4f8b5453aa3.png']"
