Sl. No,Field Name,Field Type,Example
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Formal shoes,Derby"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Lemaire,Shoes,Slippers"
2,product_name,string,Lemaire
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Formal shoes,Derby"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Boots,Lace up boots"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Sandals & slides"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Formal shoes,Derby"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Sneakers,Designer sneakers"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,John Lobb,Shoes,Derby Shoes"
2,product_name,string,John Lobb
1,breadcrumbs,list,"Men,Designers,On,Shoes,Sneakers,Low-Top"
2,product_name,string,On
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,John Lobb,Shoes,Boots,Ankle boots"
2,product_name,string,John Lobb
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Sneakers,Low-Top"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Formal shoes,Brogues"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Sneakers,Low-Top"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Loafers"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Boots,Lace up boots"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Loafers"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,John Lobb,Shoes,Loafers"
2,product_name,string,John Lobb
1,breadcrumbs,list,"Men,Designers,John Lobb,Shoes,Formal shoes,Oxford"
2,product_name,string,John Lobb
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Formal shoes,Derby"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Low-Top"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Sandals & slides"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Low-Top"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,Low-Top"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Low-Top"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Brioni,Shoes,Boots,Lace up boots"
2,product_name,string,Brioni
1,breadcrumbs,list,"Men,Designers,Marni,Shoes,Boots,Lace up boots"
2,product_name,string,Marni
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Sports sneakers"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Lemaire,Shoes,Loafers"
2,product_name,string,Lemaire
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Loafers"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,Lemaire,Shoes,Loafers"
2,product_name,string,Lemaire
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sneakers,High-Top"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Loafers"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,Burberry,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Burberry
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Loafers"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Boots,Ankle boots"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Loafers"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Sneakers,Low-Top"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Boots,Lace up boots"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Low-Top"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Espadrilles"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sandals & slides"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Loafers"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Brogues"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Boots,Chelsea boots"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Sneakers,Low-Top"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Derby Shoes"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Low-Top"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Sneakers,Low-Top"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Sneakers,Low-Top"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Espadrilles"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Sneakers,Low-Top"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Formal shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Boots,Chelsea boots"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Loafers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Loafers"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Boots,Lace up boots"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Boots,Chelsea boots"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Brioni,Shoes,Loafers"
2,product_name,string,Brioni
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Loafers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Loafers"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Sneakers,Low-Top"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Brioni,Shoes,Loafers"
2,product_name,string,Brioni
1,breadcrumbs,list,"Men,Designers,Givenchy,Shoes,Sneakers,Low-Top"
2,product_name,string,Givenchy
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sandals & slides"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Boots,Hiking boots"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Boots,Lace up boots"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Loafers"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Boots,Ankle boots"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Boots,Chelsea boots"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Loafers"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Givenchy,Shoes,Sneakers,Low-Top"
2,product_name,string,Givenchy
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Sneakers,Low-Top"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Sandals & slides"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Oxford"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Low-Top"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,John Lobb,Shoes,Derby Shoes"
2,product_name,string,John Lobb
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sandals & slides"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Sneakers,High-Top"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Espadrilles"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Low-Top"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sandals & slides"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,John Lobb,Shoes,Loafers"
2,product_name,string,John Lobb
1,breadcrumbs,list,"Men,Designers,Alexander McQueen,Shoes,Sandals & slides"
2,product_name,string,Alexander McQueen
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Slippers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Sandals & slides"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Slippers"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,The Row,Shoes,Slippers"
2,product_name,string,The Row
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Sneakers,Low-Top"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Berluti,Shoes,Sneakers,Low-Top"
2,product_name,string,Berluti
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sandals & slides"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Sneakers,Low-Top"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Boots,Hiking boots"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Moncler,Shoes,Derby Shoes"
2,product_name,string,Moncler
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Loafers"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Formal shoes,Monk strap"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Loafers"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Slippers"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Formal shoes,Oxford"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Gucci,Shoes,Loafers"
2,product_name,string,Gucci
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Formal shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Boots,Ankle boots"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Sandals & slides"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,John Lobb,Shoes,Loafers"
2,product_name,string,John Lobb
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Boots,Ankle boots"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Saint Laurent,Shoes,Loafers"
2,product_name,string,Saint Laurent
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Loafers"
2,product_name,string,Manolo Blahnik
