Sl. No,Field Name,Field Type,Example
10044,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/b6/P00956528_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/b6/P00956528_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/b6/P00956528_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/b6/P00956528_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/b6/P00956528_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/b6/P00956528_d4.jpg']"
10045,breadcrumbs,list,"['Men', 'Designers', 'Tom Ford', 'Shoes', 'Loafers']"
10046,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d3/P00945416.jpg
10047,brand_name,string,Tom Ford
10048,product_name,string,Sean suede penny loafers
10049,product_price,string,€ 830
10050,product_id,string,P00945416
10051,Description,string,None
10052,Sizes,list,"['UK 6 / EU 39.5', 'UK 7 / EU 41', 'UK 8 / EU 42', 'UK 9 / EU 43.5', 'UK 10 / EU 44.5', 'UK 11 / EU 45.5', 'UK 12 / EU 47', 'UK 13 / EU 48']"
10053,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d3/P00945416_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d3/P00945416_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d3/P00945416_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d3/P00945416_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d3/P00945416_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/d3/P00945416_d4.jpg']"
10054,breadcrumbs,list,"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Espadrilles']"
10055,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/0b/P00939282.jpg
10056,brand_name,string,Valentino Garavani
10057,product_name,string,Leisure Flows suede espadrilles
10058,product_price,string,€ 580
10059,product_id,string,P00939282
10060,Description,string,None
10061,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
10062,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/0b/P00939282_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/0b/P00939282_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/0b/P00939282_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/0b/P00939282_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/0b/P00939282_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/0b/P00939282_d4.jpg']"
